mol,name,IC50(nM),Activity,pIC50,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
O=C1c2c(N(CCCCN3CCN(CCO)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4085670,1.25,1,8.903089987,70.908173,0,0,3,4,4,0,12,0,63,1,5,30,24,87.252335,1.3849577,0,0,25,0,0,33,0,3,2,0,0,1.3117477,-2.8013415,-0.50851434,0.55918783,2.6971633,-2.9112117,-0.38622594,0.60594165,2.6598125,-2.5182188,-0.32629687,0.72693777,2.9718356,42.973831,7,0.21212122,12,66,1,33,5,7,0.21212122,53,0,21.087212,18.232271,16.03517,17.35516,14.579719,11.163211,7.9820509,9.7708569,0,0,0.68263018,16,0,-0.85863376,-0.36475506,0.015161417,2.897507,-0.96552837,-0.28850397,0.041229066,2.9604189,-0.52660769,-0.17514591,0.15712079,3.1692476,7.4936485,8.1606312,6.9993806,2.1689165,4.2747006,-5.4652739,0,7.7760282,12.061416,0.99732292,14,4.8103199,1.814029,3.0118785,23.168043,10.744802,5.3333335,18.682135,8.5962524,4.2430811,5.3532114,5,1,1,0,3.424,-4.3434701,12.044374,0,1,22,1,4,9,0,5.1389999,-5.1389999,2.071698,-2.071698,0.10110097,0.19006011,199.3394,49.074383,0,8.458519,10.324173,0,0,109.27209,36.764713,0,0,0,13.566921,7.7675405,0.92714912,0.38514426,0.049093522,0.072850861,0.61485577,0.023757339,402.90912,167.37128,21.334461,31.658634,267.19647,10.324173,0.5,1,5.1389999,-5.1389999,0.077836156,0.15761821,0.87732756,0.3547869,0.049093522,0.12267242,0.64521307,0.073578902,381.25827,154.17894,21.334461,53.309479,280.38879,31.975018,8,1,4,0.077836156,0.15761821,0.43333334,3.37604,28.509541,11.936239,0,150.00331,36.604515,0,0,105.85911,37.736813,72.165527,12.19963,23.862217,31.633854,3.1243138,12.7423,5.513495,143.59592,155.69092,66.652031,47.02,0.37824166,6.044394,3.7394898,9.4970007,434.56775,597.04071,13.566921,0,0,0,371.67313,8.458519,27.133842,407.55798,2676,51,158
O=C(OCc1ccccc1)[C@]12[C@H](C=3[C@](C)([C@@]4(C)[C@@H]([C@]5(C)[C@H]([C@@](CO)(C)c6nccnc6C5)CC4)CC=3)CC1)CC(C)(C)CC2,CHEMBL4161103,2.4000001,1,8.619788758,107.91924,0,0,3,4,4,0,12,0,96,1,5,44,38,122.84796,1.2796663,0,0,39,0,0,52,0,2,3,0,0,1.190765,-3.0067427,-0.39954627,0.40326685,2.9734485,-2.938828,-0.34726372,0.43857145,3.0519092,-2.7510109,-0.2267772,0.58624935,3.2298334,62.360764,4,0.079999998,12,102,2,50,5,5,0.1,88,0,31.175152,27.787165,25.629028,27.053831,20.829683,17.160032,15.18327,16.82048,8,0,0.67892504,18,0,-0.80586219,-0.35071066,-0.074632682,3.7238221,-0.8901093,-0.26403528,-0.024726015,3.8080075,-0.54056412,-0.15918548,0.088975161,3.9537196,7.6587725,10.824874,9.6386442,9.4823704,9.4833288,-9.4331388,0,7.7742023,17.591415,0.002270869,14,9.6428204,1.0177965,0.001355351,32.5424,11.280786,4.780488,27.832781,9.6116648,4.0624466,6.0799851,5,1,0,2,6.3165302,-9.2099705,17.512177,0,1,37,0,7,4,3,7.1360002,-7.1360002,2.7511458,-2.7511458,0.097870775,0.14324348,199.84189,94.48632,0,0,10.324173,14.708499,0,80.520355,188.22403,0,0,0,24.932074,10.271297,0.90336078,0.48763603,0.056478232,0.096639186,0.51236397,0.040160958,563.07257,303.94775,35.203369,60.236042,319.36087,25.032671,0.5,1,7.1360002,-7.1360002,0.092348658,0.09529148,0.67570347,0.48763603,0.26014861,0.32429656,0.51236397,0.064147942,421.17178,303.94775,162.15288,202.13684,319.36087,39.983967,9,0,7,0.092348658,0.09529148,0.20454545,8.2741699,25.385227,41.316525,34.862103,20.926258,21.931458,22.05398,0,140.28783,150.94725,220.88235,17.26408,34.862103,58.956287,13.232388,11.884645,0,331.02972,28.671722,199.95609,72.309998,0.29337725,6.643856,3.829313,10.642268,623.30865,879.11914,24.932074,0,0,0,522.7359,17.212255,38.498993,596.85596,6254,102,264
O=C1c2c(N(CCCCN(CCO)CCO)c3c1cccc3)c(C)cc(C)c2,CHEMBL4064097,3.1099999,1,8.507239611,65.08979,0,0,3,4,4,0,12,0,58,2,6,28,22,81.759369,1.4096442,0,0,23,0,0,30,0,2,3,0,0,1.6294394,-2.7106564,-0.53874344,0.59625268,2.6318166,-2.7885482,-0.42367214,0.58492666,2.6491313,-2.4405653,-0.39710659,0.76703036,2.900049,37.714211,9,0.30000001,12,60,1,30,9,9,0.30000001,47,0,20.095648,16.818058,14.620955,15.940947,13.56208,10.030755,7.4820509,9.2708569,0,0,0.69206721,13,0,-0.84973019,-0.40966111,0.060939308,2.8377948,-0.96525824,-0.28291184,0.000602333,2.9210365,-0.5245865,-0.18411084,0.16644917,3.1169908,6.657671,9.2559338,6.9313889,2.7859666,4.2657833,-4.9698548,0,7.7760272,11.17064,0.96806622,14,5.5183454,1.1518868,2.0532453,22.68,10.857822,5.3890305,17.991465,8.5346737,4.2084389,5.483974,5,2,1,0,3.2049999,-4.0942001,11.187737,0,1,16,1,3,9,0,5.0089998,-5.0089998,2.1657231,-2.1657231,0.096711658,0.18180864,134.1701,72.55645,0,8.458519,20.648346,0,0,109.27209,36.764713,0,0,0,13.566921,15.535081,0.87894475,0.4261573,0.070812576,0.12105525,0.5738427,0.050242677,361.22189,175.13881,29.102001,49.750347,235.83342,20.648346,0.46153846,0.85714287,5.0089998,-5.0089998,0.079856262,0.16170892,0.82626271,0.39405701,0.070812576,0.17373727,0.60594296,0.10292469,339.57104,161.94649,29.102001,71.401192,249.02574,42.299191,7,1,3,0.079856262,0.16170892,0.39285713,3.0527401,53.894768,8.8119249,0,115.61083,36.604515,0,0,105.85911,37.736813,72.165527,11.26421,23.862217,53.894768,3.1243138,12.7423,5.513495,143.59592,121.29844,66.652031,64.010002,0.38983503,5.9068904,3.5123551,9.3258162,410.97223,552.69775,13.566921,0,0,0,332.8331,8.458519,40.700764,382.504,2106,47,142
O=C1c2c(N(CCCCN3CCOCC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4094336,4,1,8.397940009,62.954205,0,0,2,3,3,0,12,0,55,0,3,27,22,75.32692,1.3695804,0,0,23,0,0,28,0,2,2,0,0,1.3955275,-2.7446578,-0.49339977,0.54065543,2.662251,-2.829741,-0.36750281,0.65038162,2.6552205,-2.4743626,-0.290892,0.70688993,2.9260342,37.443794,5,0.16666667,12,58,1,30,5,5,0.16666667,45,0,18.802753,16.331881,14.620955,15.940947,13.147867,9.9756498,7.4820509,9.2708569,0,0,0.684591,13,0,-0.85004467,-0.34207654,-0.007726841,2.8344691,-0.95898485,-0.27654481,0.12453391,2.9194987,-0.52495754,-0.17064811,0.15245447,3.1142476,5.3934317,6.8604593,6.8604593,3.4932158,4.5017161,-5.4031887,0,7.7760272,10.820713,0.90312213,14,6.030478,1.3746076,1.3916298,20.280001,9.212018,4.4518433,15.940873,7.1695423,3.4393167,4.2329173,4,0,1,0,4.1589999,-4.79076,10.833787,0,1,22,1,4,7,0,4.2090001,-4.2090001,1.7554549,-1.7554549,0.11175426,0.2148973,134.1701,72.55645,0,8.458519,0,0,0,109.27209,36.764713,0,0,0,13.566921,2.503756,0.95740527,0.4296599,0.042594735,0.042594735,0.5703401,0,361.22189,162.10748,16.070677,16.070677,215.18507,0,0.46153846,0.85714287,4.2090001,-4.2090001,0.094559275,0.19244476,0.90002048,0.39469415,0.042594735,0.099979497,0.60530585,0.057384763,339.57104,148.91516,16.070677,37.721519,228.3774,21.650845,7,1,4,0.094559275,0.19244476,0.37037036,4.09834,3.1243138,8.8119249,10.999887,115.61083,36.604515,0,0,105.85911,37.736813,72.165527,10.92895,34.862103,3.1243138,3.1243138,12.7423,5.513495,143.59592,121.29844,66.652031,32.779999,0.41024774,5.9068904,3.4664094,9.2160864,377.29254,532.41864,16.070677,0,0,0,332.8331,8.458519,16.070677,364.48898,1874,46,144
O=C1c2c(N(CCCCN(CC)CC)c3c1cccc3)c(C)cc(C)c2,CHEMBL4077817,4.0500002,1,8.392544977,63.48579,0,0,2,3,2,0,12,0,56,0,2,26,22,71.963234,1.2850578,0,0,23,0,0,30,0,2,1,0,0,1.6779948,-2.7144129,-0.38957047,0.37491274,2.6203678,-2.7404757,-0.26314157,0.47621727,2.6554461,-2.4368215,-0.15941444,0.55153054,2.8962862,37.714211,7,0.25,12,58,1,28,8,7,0.25,45,0,18.681435,16.509418,15.206742,16.526733,12.56208,9.8125134,7.8962646,9.68507,0,0,0.65435231,12,0,-0.86111325,-0.33173427,-0.04401115,2.8237019,-0.95378,-0.25795031,0.07068868,2.9210711,-0.52428174,-0.14135635,0.096006267,3.1065614,4.0986953,5.469017,5.469017,2.8365152,5.5492687,-5.9099936,0,7.7760291,10.810447,0.99907321,14,3.9673719,1.0074261,4.1635022,20.727041,9.4674559,4.54321,16.13147,7.289402,3.4711311,4.522645,3,0,1,1,5.2750001,-5.1536999,10.822169,0,1,16,1,3,7,1,4.1290002,-4.131,1.4958795,-1.4958795,0.13114662,0.20244412,133.37778,25.592316,0,8.458519,0,0,0,135.65675,74.260063,0,0,0,13.566921,0,0.96529418,0.57169783,0.034705788,0.034705788,0.42830217,0,377.34543,223.48373,13.566921,13.566921,167.4286,0,0.5,1,4.1290002,-4.131,0.09639138,0.19607843,0.81399125,0.47045523,0.13062334,0.18600877,0.52954477,0.055385422,318.19922,183.90675,51.062275,72.71312,207.00558,21.650845,6,1,3,0.09639138,0.19607843,0.34615386,5.1079402,3.1243138,8.8119249,0,73.758316,36.604515,0,0,105.85911,37.736813,138.81755,10.98185,23.862217,3.1243138,3.1243138,12.7423,5.513495,143.59592,79.445923,133.30406,23.549999,0.41210872,5.8073549,3.3855236,9.116272,390.91235,535.65332,13.566921,0,0,0,347.53305,8.458519,13.566921,350.50598,1664,45,134
O=C1c2c(N(CCCCN3CCCCC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4066830,5,1,8.301029996,65.245789,0,0,2,3,2,0,12,0,57,0,2,27,23,73.228912,1.2847178,0,0,24,0,0,30,0,2,1,0,0,1.3955275,-2.7949755,-0.50851423,0.55918783,2.7014227,-2.7976673,-0.38622585,0.6731571,2.7517788,-2.521383,-0.32629687,0.72693682,2.9703879,37.714211,5,0.16666667,12,60,1,30,5,5,0.16666667,47,0,18.802753,16.630737,15.328063,16.648054,13.147867,10.398299,8.4820509,10.270857,0,0,0.66372395,13,0,-0.85803014,-0.36475566,0.015161592,2.862088,-0.95310414,-0.27042228,0.13133503,2.955205,-0.52843469,-0.17513205,0.15712027,3.1386175,4.0925326,5.5602918,5.5602918,2.6580067,5.2652745,-5.9525824,0,7.7760291,11.095002,0.99877495,14,4.0886807,1.0094825,3.9971569,20.280001,9.212018,4.4518433,15.940873,7.1695423,3.4393167,4.2329173,3,0,1,1,5.5669999,-5.2534299,11.090322,0,1,22,1,4,7,1,4.1290002,-4.1290002,1.5159986,-1.5159986,0.12940615,0.19941534,133.37778,25.592316,0,8.458519,0,0,0,153.05937,45.466026,0,0,0,13.566921,0,0.96425253,0.55884224,0.035747491,0.035747491,0.44115776,0,365.95401,212.09232,13.566921,13.566921,167.4286,0,0.46153846,0.85714287,4.1290002,-4.1290002,0.09639138,0.19617341,0.90720469,0.45456082,0.035747491,0.09279532,0.54543918,0.057047829,344.30316,172.51535,13.566921,35.217766,207.00558,21.650845,7,1,4,0.09639138,0.19617341,0.37037036,5.2520399,3.1243138,8.8119249,0,73.758316,36.604515,0,0,105.85911,94.342026,72.165527,11.23215,23.862217,3.1243138,3.1243138,12.7423,5.513495,200.20113,79.445923,66.652031,23.549999,0.41024774,5.9068904,3.4664094,9.2160864,379.52094,546.1864,13.566921,0,0,0,336.14163,8.458519,13.566921,362.517,1874,46,144
O=C(CCc1ccccc1)c1c(OCC(O)CN2CCN(c3c(C)c(C)ccc3)CC2)cccc1,CHEMBL375243,5.6230001,1,8.250031916,81.410545,0,0,3,4,4,0,18,0,71,1,5,35,29,96.553139,1.3599033,0,0,30,0,0,36,0,2,3,0,0,1.1514976,-2.7692537,-0.51578522,0.5966534,2.6846042,-2.9029596,-0.47161216,0.67379451,2.5802948,-2.4836512,-0.39712068,0.71211362,2.9612815,46.189453,10,0.2631579,18,74,1,38,4,10,0.2631579,55,0,24.622746,20.820545,18.662407,20.760939,17.008039,12.515522,9.7556543,12.570517,1,1,0.68078619,20,0,-0.84852004,-0.37304673,0.060879499,2.836714,-0.98718429,-0.32060292,0.13612482,2.8623672,-0.52071208,-0.19623649,0.15915251,3.0968637,6.977119,10.46576,9.1553907,5.0611587,5.5489697,-6.7456779,0,10.548361,14.044261,0.67579335,14,6.6810079,1.8776101,0.6715045,28.01939,14.235294,8.2404737,21.686255,10.929524,6.2900901,6.7720122,5,1,1,0,4.6259999,-5.6517901,14.160586,0,1,24,0,4,12,3,5.8000002,-5.8000002,2.474813,-2.474813,0.084827282,0.15687223,168.87875,92.295532,0,8.458519,10.324173,0,0,89.586998,110.29414,0,0,0,13.566921,10.271297,0.93217391,0.44417286,0.047328446,0.067826077,0.55582714,0.020497633,469.51395,223.71935,23.838217,34.162392,279.95697,10.324173,0.5,1,5.8000002,-5.8000002,0.072931036,0.14448276,0.86299622,0.46144846,0.047328446,0.13700378,0.53855151,0.08967533,434.67078,232.42067,23.838217,69.005562,271.25565,45.167343,10,1,4,0.072931036,0.14448276,0.65714288,4.68081,39.50943,8.8119249,6.4686494,113.12415,36.604515,18.868406,0,211.71822,18.868406,74.652206,14.16063,23.862217,39.50943,3.1243138,24.454376,2.7567475,249.45502,118.81176,66.652031,53.009998,0.33549348,6.2479277,4.1125278,9.9276199,503.67633,694.23999,16.070677,0,0,0,436.14258,8.458519,29.637598,472.629,4626,53,178
O(C)c1c(OC)cc(/C=C\c2cc(O)c(OC)cc2)cc1OC,CHEMBL67,6.5999999,1,8.180456064,49.02586,0,0,3,4,5,0,12,0,43,1,6,23,18,60.22253,1.400524,0,0,18,0,0,20,0,0,5,0,0,1.819559,-2.3268373,-0.59067786,0.56060356,2.2915609,-2.2978766,-0.5579046,0.66528738,2.4982812,-2.0377331,-0.40458122,0.75335008,2.5967138,29.528139,6,0.25,12,44,1,24,2,6,0.25,31,0,16.819626,13.621658,11.541451,12.991199,11.121253,6.9765143,4.3034182,6.0824828,0,0,0.72610492,13,0,-0.78683978,-0.45090327,-0.049912501,2.4378023,-0.89022559,-0.31355393,0.12371383,2.6287303,-0.4870806,-0.20388195,0.14167304,2.735774,4.5972137,9.4979439,7.5842762,3.4071524,3.4070966,-3.9029591,0,8.1580706,8.8161716,-0.010690305,8.966342,14,1.0609344,0.006407493,19.326389,9.4746094,4.9886622,14.974275,7.2496729,3.7810318,4.7199388,5,1,1,0,3.63448,-4.09863,8.8183889,0,1,13,1,2,6,0,3.086,-3.0899999,2.0327358,-2.0327358,0.10696021,0.17575124,99.990631,81.042336,42.292599,0,10.324173,0,0,53.436695,36.764713,0,0,0,0,17.782564,0.91772842,0.31608114,0.052051552,0.082271561,0.68391883,0.030220006,313.52698,107.98397,17.782564,28.106737,233.64973,10.324173,0.46153846,0.85714287,3.086,-3.0899999,0.14581983,0.17216828,0.91772842,0.30315185,0.052051552,0.082271561,0.69684815,0.030220006,313.52698,103.56689,17.782564,28.106737,238.06682,10.324173,7,0,2,0.14581983,0.17216828,0.17391305,3.5969999,69.384781,0,0,0,6.37115,141.53548,0,88.215919,35.286369,26.21714,8.9684801,0,69.384781,0,32.588291,0,88.215919,35.286369,141.53548,57.150002,0.43892586,5.5849624,3.4504526,8.7334929,341.6337,435.68497,10.015024,0,0,0,300.00287,0,23.581945,316.353,1310,36,112
O=C1c2c(N(CCCN3CCN(CCO)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4086583,8,1,8.096910013,67.814583,0,0,2,3,4,0,12,0,60,1,5,29,23,84.03936,1.400656,0,0,24,0,0,31,0,3,2,0,0,1.3663528,-2.7988374,-0.50853771,0.55922759,2.6944394,-2.9129043,-0.38625139,0.60594827,2.6167436,-2.5148203,-0.32630137,0.72704524,2.9701512,40.787418,6,0.1875,12,63,1,32,4,6,0.1875,50,0,20.380104,17.525166,15.328063,16.648054,14.079719,10.663211,7.4820509,9.2708569,0,0,0.68725652,15,0,-0.85831624,-0.36562318,0.015166339,2.8891959,-0.96578234,-0.28973937,0.041227393,2.9434192,-0.5227918,-0.17517786,0.15712246,3.1639981,7.4762273,8.0660095,6.9046984,2.1289959,4.031805,-5.2432437,0,7.7759962,11.607026,0.99182624,14,5.0505872,2.0857337,2.6843927,22.203125,10.08,4.9240375,17.763351,7.9962068,3.8817239,4.8979111,5,1,1,0,2.9820001,-4.1416998,11.578018,0,1,22,1,4,8,0,4.9790001,-4.9790001,2.0199356,-2.0199356,0.10369176,0.19493057,204.00095,49.074383,0,8.458519,10.324173,0,0,87.378456,36.764713,0,0,0,13.566921,7.7675405,0.92414105,0.34858665,0.051120628,0.075858921,0.65141338,0.024738295,385.67703,145.47763,21.334461,31.658634,271.85803,10.324173,0.46666667,0.875,4.9790001,-4.9790001,0.08033742,0.16268326,0.87226236,0.34858665,0.051120628,0.12773766,0.65141338,0.076617025,364.02618,145.47763,21.334461,53.309479,271.85803,31.975018,8,1,4,0.08033742,0.16268326,0.41379312,2.98594,28.509541,11.936239,0,150.00331,36.604515,0,0,105.85911,18.868406,72.165527,11.73793,23.862217,31.633854,3.1243138,12.7423,5.513495,124.72751,155.69092,66.652031,47.02,0.38828552,6,3.6351092,9.4106979,417.33566,572.61151,13.566921,0,0,0,355.86465,8.458519,27.133842,393.53101,2344,50,154
O=C1c2c(N(CCCCN3CCN(C)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4102080,10,1,8,67.012581,0,0,2,3,3,0,12,0,59,0,3,28,23,78.701866,1.3339299,0,0,24,0,0,31,0,3,1,0,0,1.3688719,-2.7933381,-0.3895705,0.37507147,2.6846197,-2.8961415,-0.2684662,0.47621727,2.6586592,-2.508142,-0.15941444,0.55153054,2.9614251,40.787418,5,0.16129032,12,62,1,31,5,5,0.16129032,49,0,19.672998,17.370846,15.620955,16.940947,13.541714,10.477969,7.4820509,9.2708569,0,0,0.66927701,14,0,-0.86231989,-0.33896819,-0.043849971,2.8708286,-0.96394855,-0.27560908,0.070688784,2.9440753,-0.52578163,-0.14262526,0.096027136,3.1471887,6.2083645,6.186079,6.186079,2.279952,4.6656518,-5.7006764,0,7.7760282,11.426933,1.0075903,14,4.4598832,2.1218429,3.4948397,21.240376,9.4276857,4.6944447,16.849447,7.4105296,3.6660178,4.4594045,4,0,1,0,4.118,-4.54601,11.383673,0,1,22,1,4,7,0,4.4590001,-4.4590001,1.6957905,-1.6957905,0.1156862,0.17862904,190.41246,25.592316,0,8.458519,0,0,0,132.51079,36.764713,0,0,0,13.566921,0,0.96669108,0.44890708,0.033308938,0.033308938,0.55109292,0,393.7388,182.84242,13.566921,13.566921,224.46329,0,0.5,1,4.4590001,-4.4590001,0.08925768,0.18165508,0.91353482,0.35946319,0.033308938,0.086465187,0.64053684,0.053156249,372.08795,146.41141,13.566921,35.217766,260.89432,21.650845,7,1,4,0.08925768,0.18165508,0.39285713,4.0135398,3.1243138,11.936239,0,110.63747,36.604515,32.897186,0,105.85911,37.736813,72.165527,11.59675,23.862217,6.2486277,3.1243138,12.7423,5.513495,143.59592,116.32508,99.549217,26.790001,0.39893496,5.9541965,3.557076,9.3133192,407.30573,564.08929,13.566921,0,0,0,363.2146,8.458519,13.566921,377.53198,2113,48,150
