mol,name,pIC50,ast_fraglike,b_triple,density,FCharge,GCUT_PEOE_0,GCUT_PEOE_2,GCUT_SLOGP_1,logP(o/w),PEOE_RPC+,PEOE_VSA-0,PEOE_VSA_FPOL,Q_VSA_FPNEG,Q_VSA_FPPOS,VDistEq
O=C1c2c(N(CCCCN3CCN(CCO)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4085670,8.9030895,0,0,0.68263018,0,-0.85863376,0.015161417,-0.28850397,3.424,0.10110097,109.27209,0.072850861,0.049093522,0.073578902,3.7394898
O=C(OCc1ccccc1)[C@]12[C@H](C=3[C@](C)([C@@]4(C)[C@@H]([C@]5(C)[C@H]([C@@](CO)(C)c6nccnc6C5)CC4)CC=3)CC1)CC(C)(C)CC2,CHEMBL4161103,8.6197891,0,0,0.67892504,0,-0.80586219,-0.074632682,-0.26403528,6.3165302,0.097870775,80.520355,0.096639186,0.26014861,0.064147942,3.829313
O=C1c2c(N(CCCCN(CCO)CCO)c3c1cccc3)c(C)cc(C)c2,CHEMBL4064097,8.5072393,0,0,0.69206721,0,-0.84973019,0.060939308,-0.28291184,3.2049999,0.096711658,109.27209,0.12105525,0.070812576,0.10292469,3.5123551
O=C1c2c(N(CCCCN3CCOCC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4094336,8.3979397,0,0,0.684591,0,-0.85004467,-0.007726841,-0.27654481,4.1589999,0.11175426,109.27209,0.042594735,0.042594735,0.057384763,3.4664094
O=C1c2c(N(CCCCN(CC)CC)c3c1cccc3)c(C)cc(C)c2,CHEMBL4077817,8.3925447,0,0,0.65435231,0,-0.86111325,-0.04401115,-0.25795031,5.2750001,0.13114662,135.65675,0.034705788,0.13062334,0.055385422,3.3855236
O=C1c2c(N(CCCCN3CCCCC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4066830,8.3010302,0,0,0.66372395,0,-0.85803014,0.015161592,-0.27042228,5.5669999,0.12940615,153.05937,0.035747491,0.035747491,0.057047829,3.4664094
O=C(CCc1ccccc1)c1c(OCC(O)CN2CCN(c3c(C)c(C)ccc3)CC2)cccc1,CHEMBL375243,8.2500315,0,0,0.68078619,0,-0.84852004,0.060879499,-0.32060292,4.6259999,0.084827282,89.586998,0.067826077,0.047328446,0.08967533,4.1125278
O(C)c1c(OC)cc(/C=C\c2cc(O)c(OC)cc2)cc1OC,CHEMBL67,8.1804562,0,0,0.72610492,0,-0.78683978,-0.049912501,-0.31355393,3.63448,0.10696021,53.436695,0.082271561,0.052051552,0.030220006,3.4504526
O=C1c2c(N(CCCN3CCN(CCO)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4086583,8.0969105,0,0,0.68725652,0,-0.85831624,0.015166339,-0.28973937,2.9820001,0.10369176,87.378456,0.075858921,0.051120628,0.076617025,3.6351092
O=C1c2c(N(CCCCN3CCN(C)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4102080,8,0,0,0.66927701,0,-0.86231989,-0.043849971,-0.27560908,4.118,0.1156862,132.51079,0.033308938,0.033308938,0.053156249,3.557076
O=C1c2c(N(CCCN(CCO)CCO)c3c1cccc3)c(C)cc(C)c2,CHEMBL4096764,7.950007,0,0,0.69751829,0,-0.84938717,0.060940173,-0.28610304,2.763,0.099076405,87.378456,0.12635325,0.073911697,0.10742921,3.3908937
O=C(OC1CCC(N(C)C2CCC(OC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316428,7.9208188,0,0,0.73128754,0,-0.85786927,-0.088055961,-0.33210534,6.12396,0.075502098,156.33226,0.11521319,0.070956372,0.044256814,4.5037603
O=C1c2c(N(CCCN(CC)CC)c3c1cccc3)c(C)cc(C)c2,CHEMBL4078738,7.8477116,0,0,0.65818292,0,-0.86090952,-0.043993507,-0.25788879,4.8330002,0.13585797,113.76311,0.036306228,0.13664697,0.057939492,3.2538419
O(C)c1ccc(N(C)c2nc(C)nc3c2CCC3)cc1.Cl,CHEMBL2425924,7.7851563,0,0,0.73576337,0,-0.80254698,-0.008389154,-0.29866213,3.599,0.10340672,117.10992,0.042345364,0.15250529,0.092680104,3.2768834
O=C1c2c(N(CCCN3CCCCC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4094253,7.7695513,0,0,0.667916,0,-0.85775405,0.015166866,-0.27145302,5.125,0.13398932,131.16574,0.037447803,0.037447803,0.059761278,3.3413801
O=C1c2c(N(CCCN3CCN(C)CC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4073625,7.7644715,0,0,0.67358136,0,-0.862086,-0.043845214,-0.27646413,3.6760001,0.1193286,110.61715,0.034780409,0.034780409,0.055504508,3.4392486
O=C1c2c(N(CCCN3CCOCC3)c3c1cccc3)c(C)cc(C)c2,CHEMBL4099509,7.7011471,0,0,0.68990016,0,-0.84962279,-0.0077195,-0.27645743,3.717,0.11514481,87.378456,0.044633273,0.044633273,0.060131133,3.3413801
O=C(OC1CCC(N(C)C2CCC(OC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL1643347,7.6989698,0,1,0.733926,0,-0.8578549,-0.1071277,-0.36773753,6.2259598,0.088247471,141.8688,0.11546048,0.071108669,0.044351805,4.5037603
O=C(OC1CCC(N(C)C2CCC(OC(=O)C(c3ccc(OC)cc3)c3ccc(OC)cc3)CC2)CC1)C#Cc1cc(OC)c(OC)c(OC)c1,CHEMBL2316440,7.6989698,0,1,0.71706235,0,-0.85786414,-0.049366973,-0.32536796,8.4294796,0.087240227,170.7957,0.10286997,0.062018957,0.040851012,4.5694809
O=C1c2c(c(C)cc(C)c2)Nc2c1cccc2,CHEMBL4091769,7.5667105,0,0,0.69620878,0,-0.79595727,0.054431245,-0.24311328,3.4990001,0.19292235,78.677147,0.063672319,0.063672319,0.079347707,2.6866741
O=C(OC(C)(C)C)NCCCCCC(=O)N[C@@H]1C(C)(C)[C@H]2[C@@](C)([C@@H]3[C@](C)([C@@]4(C)[C@H]([C@H](O)C3)[C@@H]([C@@]3(C)O[C@@H](C(O)(C)C)CC3)CC4)CC2)CC1,CHEMBL4565305,7.548367,0,0,0.6759811,0,-0.84031075,-0.111337,-0.29010087,8.493,0.096477732,208.20052,0.13370235,0.33731574,0.097119153,4.3716269
O=C(OC1CCC(N(C)C2CCC(OC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)CC1)/C=C/c1cc(OC)c(OC)c(OC)c1,CHEMBL2316161,7.5228786,0,0,0.73128754,0,-0.85786927,-0.088055961,-0.33210534,6.12396,0.075502098,156.33226,0.11521319,0.070956372,0.044256814,4.5037603
O(C/C=C/c1ccc(-c2[nH]c(c(-c3ccc(NC(C)C)cc3)n2)-c2ccc(NC(C)C)cc2)cc1)CC,CHEMBL313113,7.5000381,0,0,0.66480595,0,-0.83245707,0.081797153,-0.26386139,7.4510002,0.067563444,144.96654,0.016157748,0.22770244,0.088523157,4.0113611
O=C(Nc1ccc(CCN2Cc3c(cc(OC)c(OC)c3)CC2)cc1)c1c(NC(=O)c2cnc3c(c2)cccc3)cc(OC)c(OC)c1,CHEMBL348475,7.480041,0,0,0.72910482,0,-0.85058844,0.046947192,-0.34687221,5.3504801,0.068722427,122.06747,0.1078175,0.06735085,0.098481208,4.397377
O(C)c1c(OC)cc2c(C(=O)/C(=C/C=C/c3ccc(N(C)C)cc3)/C2)c1,CHEMBL3233494,7.3699794,0,0,0.69491202,0,-0.84304857,-0.071785286,-0.26386139,4.1837401,0.10946885,99.91407,0.049789969,0.049789969,0.022673609,3.7062585
O(C)c1ccc(N(C)c2nc(C)nc3c2CC(C)C3)cc1.Cl,CHEMBL1824506,7.3526173,0,0,0.726794,0,-0.80278331,-0.014116577,-0.29740533,3.957,0.10003185,108.40861,0.040072422,0.19848837,0.087705389,3.3233635
OC(C)(C)[C@@H]1O[C@](C)([C@@H]2[C@H]3[C@H](O)C[C@H]4[C@](C)([C@]3(C)CC2)CC[C@H]2C(C)(C)[C@@H](N)CC[C@]42C)CC1,CHEMBL4517579,7.3173137,0,0,0.66107965,0,-0.83866775,-0.098898053,-0.2657735,6.2870002,0.089253537,134.55486,0.088408172,0.34060335,0.073877156,3.5058115
O=C(OC(C)(C)C)NCCCCCC(=O)N[C@@H]1C(C)(C)[C@H]2[C@@](C)([C@@H]3[C@](C)([C@@]4(C)[C@H]([C@H](O)C3)[C@@H]([C@@]3(C)O[C@@H](C(O)(C)C)CC3)CC4)CC2)CC1,CHEMBL4565305,7.3150649,0,0,0.6759811,0,-0.84031075,-0.111337,-0.29010087,8.493,0.096477732,208.20052,0.13370235,0.33731574,0.097119153,4.3716269
O(C)c1c(OC)ccc(C(C#N)(C(C)C)CCCNCc2c3c(cc4c2cccc4)cccc3)c1,CHEMBL1087138,7.3010302,0,1,0.67120004,0,-0.84596872,0.05220874,-0.28455433,7.7737398,0.057326477,80.610901,0.010266872,0.12050704,0.084042139,3.8161783
O=C(c1c(OCC(O)CN2CCN(CC(O)COc3c(C(=O)c4ccccc4)cccc3)CC2)cccc1)c1ccccc1,CHEMBL2059236,7.3010302,0,0,0.71688163,0,-0.85343504,0.079978727,-0.35188076,4.7160001,0.058349058,49.019615,0.1131202,0.07893429,0.062194183,4.4297829
